,Company,Date,Adj Close,Volume,press release,Price change 12mo,Price change 8mo,Price change 4mo,Price change,Price change pct,Compound,Negative,Neutral,Positive,polarity,subjectivity,text length,word_count,word_density,punctuation_count,upper_case_word_count,stopword_count,readability,noun_count,verb_count,adj_count,adv_count,pron_count,top_words,Price change sign long,Price change sign mid,Price change sign short,word_calculation
36,att,2018-01-01,18.201876,837564914,"The impact of tax reform and regulatory rationalization will be substantial and positive for the U.S. economy and AT&T. Our FirstNet win and the opt-in by 100 percent of all states and territories will enable us to put the industry's most robust spectrum assets to work in building a best-in-class nationwide network for public safety and first responders. On the Time Warner front, we look forward to presenting our case in court and closing the deal.",-3.2310799999999986,-1.7727569999999986,-2.028734999999997,0.0,0.0,0.9399,0.0,0.808,0.192,0.35545454545454547,0.369090909090909,452.0,76.0,5.87012987012987,11.0,2.0,33.0,10.36951935483871,25.0,8.0,8.0,3.0,4.0,"[('impact', 1), ('tax', 1), ('reform', 1), ('regulatory', 1), ('rationalization', 1), ('substantial', 1), ('positive', 1), ('U.S.', 1), ('economy', 1), ('AT&T.', 1)]",-1.0,-1.0,-1.0,1.0
48,att,2019-01-01,15.76812,1035320203,"Our top priority for 2018 and 2019 is reducing our debt and I couldn’t be more pleased with how we closed the year. In 2018, we generated record free cash flow while investing at near-record levels. Our dividend payout as a percent of free cash flow was 46% for the quarter and 60% for the year, allowing us to increase the dividend for the 35th consecutive year. This momentum will carry us into 2019 allowing us to continue reducing our debt while investing in the business and continuing our strong record for paying dividends.",6.46068,3.9265250000000016,0.8304100000000005,0.0,0.0,0.9041,0.046,0.795,0.159,0.37619047619047613,0.6333333333333334,530.0,94.0,5.578947368421052,9.0,1.0,42.0,9.784740538519072,23.0,17.0,9.0,2.0,11.0,"[('year', 3), ('record', 3), ('2018', 2), ('2019', 2), ('reducing', 2), ('debt', 2), ('free', 2), ('cash', 2), ('flow', 2), ('investing', 2)]",1.0,1.0,1.0,105.79599008364248
60,att,2020-01-01,21.398348,982957591,"We delivered what we promised in 2019 and we begin this year with strong momentum in wireless, with HBO Max set to launch in May and our share retirement plan well underway. Our 2020 outlook positions us to deliver meaningful progress on our 3-year financial and capital allocation plans as we continue to invest in growth opportunities and create value for our owners, as we did last year.",-3.5373819999999974,-3.327852,-3.758462999999999,0.0,0.0,0.9678,0.0,0.7,0.3,0.23333333333333334,0.325,390.0,68.0,5.6521739130434785,5.0,1.0,29.0,11.31857396593674,20.0,10.0,5.0,2.0,11.0,"[('year', 3), ('delivered', 1), ('promised', 1), ('2019', 1), ('begin', 1), ('strong', 1), ('momentum', 1), ('wireless', 1), ('HBO', 1), ('Max', 1)]",-1.0,-1.0,-1.0,0.3130917656290247
72,att,2021-01-01,17.780239,1224161530,"We ended the year with strong momentum in our market focus areas of broadband connectivity and software-based entertainment. By investing in our high-quality wireless customer base, we had our best full-year of postpaid phone net adds in a decade and our second lowest postpaid phone churn ever. Our fiber broadband net adds passed the 1 million mark for the year. And the release of Wonder Woman 1984 helped drive our domestic HBO Max and HBO subscribers to more than 41 million, a full two years faster than our initial forecast. ",-0.9732340000000016,0.4811540000000001,2.1860639999999982,0.0,0.0,0.8271,0.026,0.87,0.104,0.14833333333333334,0.31833333333333336,532.0,90.0,5.846153846153846,9.0,2.0,33.0,9.664944444444444,31.0,9.0,11.0,2.0,9.0,"[('year', 3), ('broadband', 2), ('postpaid', 2), ('phone', 2), ('net', 2), ('adds', 2), ('million', 2), ('HBO', 2), ('ended', 1), ('strong', 1)]",-1.0,1.0,1.0,0.5746272079383983
84,att,2022-01-01,17.421898,1828521981,"A year and a half ago, we began simplifying our business to reposition AT&T for growth and we’re extremely pleased with how we’ve executed on that commitment. We ended 2021 the way we started it – by growing our customer relationships, running our operations more effectively and efficiently, and sharpening our focus. Our momentum is strong and we’re confident there is more opportunity to continue to grow our customer base and drive costs from the business. We’re at the dawn of a new age of connectivity. Our focus now is to be America’s best connectivity provider and also ensure our media assets are positioned to grow and truly become a global media distribution leader. Once we do this, we’ll unlock the true value of these businesses and provide a great opportunity for shareholders.",0.4722670000000022,-0.6708739999999977,0.1003700000000016,0.0,0.0,0.9929,0.0,0.702,0.298,0.33484848484848484,0.5913752913752913,792.0,133.0,5.91044776119403,11.0,2.0,60.0,9.602063470319635,40.0,27.0,11.0,10.0,18.0,"[('business', 2), ('customer', 2), ('focus', 2), ('opportunity', 2), ('grow', 2), ('connectivity', 2), ('media', 2), ('year', 1), ('half', 1), ('ago', 1)]",1.0,-1.0,1.0,0.0996956086821884
36,boeing,2018-01-01,337.712067,125945500,"Across Boeing our teams delivered a record year of financial and operational performance as they focused on disciplined execution of production and development programs, growing services, and delivering value to customers. That performance enables increased investments in our people and our business, and greater cash return to shareholders. In 2017 we delivered the first 737 MAX airplanes, launched the 737 MAX 10 and completed the 787-10 first flight, all while delivering more commercial airplanes than ever before. We flew the first KC-46 Tanker to be delivered to the U.S. Air Force, were awarded an initial contract for the Ground Based Strategic Deterrent program, and a contract to provide 36 F-15 fighters to Qatar. We launched Boeing Global Services during the year, to deliver greater lifecycle value, and achieved growth that outpaced the market. We actively positioned for future markets and growth by developing new products and services, investing to build vertical capabilities, launching the HorizonX innovation organization and bringing in new capabilities, including the acquisition of Aurora Flight Sciences. Looking forward, our team remains focused on winning through innovation, driving growth and productivity and extending our position as the world's leading aerospace company – delivering the best value to our customers, our employees and our shareholders.",-24.33984399999997,-7.78537,-18.26260400000001,0.0,0.0,0.9915,0.005,0.784,0.211,0.2430871212121212,0.3240056818181818,1385.0,206.0,6.690821256038648,28.0,5.0,74.0,11.765835338345864,73.0,34.0,17.0,4.0,13.0,"[('delivered', 3), ('delivering', 3), ('value', 3), ('growth', 3), ('Boeing', 2), ('year', 2), ('performance', 2), ('focused', 2), ('services', 2), ('customers', 2)]",-1.0,-1.0,-1.0,0.44524413380946404
48,boeing,2019-01-01,374.70575,90783300,"Across the enterprise our team delivered strong core operating performance and customer focus, driving record revenues, earnings and cash flow and further extending our global aerospace industry leadership in 2018. Our financial performance provided a firm platform to further invest in new growth businesses, innovation and future franchise programs, as well as in our people and enabling technologies. In the last 5 years, we have invested nearly $35 billion in key strategic areas of our business, all while increasing cash returns to shareholders. Our One Boeing focus, clear strategies for growth, and leading positions in large and growing markets, give us confidence for continued strong performance, revenue expansion and solid execution across all three businesses, which is reflected in our 2019 guidance. We remain focused on executing on our production and development programs as well as our growth strategy while driving further productivity, quality and safety improvements, investing in our team and creating more value and opportunity for our customers, shareholders and employees.",-50.87243700000005,-17.10055600000004,-5.861878000000047,0.0,0.0,0.9906,0.0,0.759,0.241,0.10101858925388336,0.4014578558696206,1098.0,163.0,6.695121951219512,20.0,0.0,60.0,11.259472269938652,58.0,19.0,19.0,5.0,14.0,"[('performance', 3), ('growth', 3), ('team', 2), ('strong', 2), ('focus', 2), ('driving', 2), ('cash', 2), ('businesses', 2), ('programs', 2), ('shareholders', 2)]",-1.0,-1.0,-1.0,4.786691248040016
60,boeing,2020-01-01,316.387573,181565800,"We recognize we have a lot of work to do. We are focused on returning the 737 MAX to service safely and restoring the long-standing trust that the Boeing brand represents with the flying public. We are committed to transparency and excellence in everything we do.  Safety will underwrite every decision, every action and every step we take as we move forward. Fortunately, the strength of our overall Boeing portfolio of businesses provides the financial liquidity to follow a thorough and disciplined recovery process.",-102.32757499999995,-144.56756599999997,-175.36756899999995,0.0,0.0,0.9702,0.0,0.764,0.236,0.16666666666666666,0.22777777777777777,519.0,84.0,6.105882352941176,8.0,1.0,36.0,9.284400465735196,19.0,20.0,5.0,3.0,8.0,"[('Boeing', 2), ('recognize', 1), ('lot', 1), ('work', 1), ('focused', 1), ('returning', 1), ('737', 1), ('MAX', 1), ('service', 1), ('safely', 1)]",-1.0,-1.0,-1.0,1.0
72,boeing,2021-01-01,194.190002,257714800,"2020 was a year of profound societal and global disruption which significantly constrained our industry. The deep impact of the pandemic on commercial air travel, coupled with the 737 MAX grounding, challenged our results. I am proud of the resilience and dedication our global team demonstrated in this environment as we strengthened our safety processes, adapted to our market and supported our customers, suppliers, communities and each other. Our balanced portfolio of diverse defense, space and services programs continues to provide important stability as we lay the foundation for our recovery. While the impact of COVID-19 presents continued challenges for commercial aerospace into 2021, we remain confident in our future, squarely-focused on safety, quality and transparency as we rebuild trust and transform our business.",7.130005000000011,25.309998000000007,40.119996000000015,0.0,0.0,0.9559,0.038,0.786,0.176,0.16944444444444443,0.4673611111111111,832.0,124.0,6.656,16.0,3.0,53.0,11.445140000000002,39.0,17.0,13.0,1.0,15.0,"[('global', 2), ('impact', 2), ('commercial', 2), ('safety', 2), ('2020', 1), ('year', 1), ('profound', 1), ('societal', 1), ('disruption', 1), ('significantly', 1)]",1.0,1.0,1.0,3.7796622945876686
84,boeing,2022-01-01,200.240005,219087100,"2021 was a rebuilding year for us as we overcame hurdles and reached key milestones across our commercial, defense and services portfolios. We increased 737 MAX production and deliveries, and safely returned the 737 MAX to service in nearly all global markets. As the commercial market recovery gained traction, we also generated robust commercial orders, including record freighter sales. Demonstrating progress in our overall recovery, we also returned to generating positive cash flow in the fourth quarter. On the 787 program, we’re progressing through a comprehensive effort to ensure every airplane in our production system conforms to our exacting specifications. While this continues to impact our near-term results, it is the right approach to building stability and predictability as demand returns for the long term. Across the enterprise, we remain focused on safety and quality as we deliver for our customers and invest in our people and in our sustainable future.",-9.75,-39.990005,-51.40000899999998,0.0,0.0,0.9753,0.009,0.816,0.175,0.08176823176823177,0.2697052947052947,978.0,151.0,6.434210526315789,16.0,2.0,59.0,10.087150233426705,45.0,20.0,18.0,4.0,17.0,"[('commercial', 3), ('737', 2), ('MAX', 2), ('production', 2), ('returned', 2), ('recovery', 2), ('term', 2), ('2021', 1), ('rebuilding', 1), ('year', 1)]",-1.0,-1.0,-1.0,1.9208878130011107
36,booking,2018-01-01,1912.050049,9515000,"Booking Holdings finished 2017 with a strong 4th quarter, reporting year-over-year growth in room nights booked of 17% and Adjusted EBITDA growth of 23%. We are pleased with the solid execution across all of our brands in 2017 as we moved ahead on important investments in the year while driving strong top-line growth. We intend to continue to strategically invest in our business by growing our supply base to drive customer choice, innovating around the customer and supplier experience and investing in marketing that builds consumer awareness for our brands and delivers profitable top-line growth.",-189.630005,71.94995100000006,196.8698730000001,0.0,0.0,0.9747,0.0,0.751,0.249,0.16111111111111112,0.7611111111111111,603.0,95.0,6.28125,11.0,1.0,36.0,10.69116835978836,31.0,13.0,10.0,2.0,7.0,"[('growth', 4), ('year', 3), ('2017', 2), ('strong', 2), ('brands', 2), ('line', 2), ('customer', 2), ('Booking', 1), ('Holdings', 1), ('finished', 1)]",-1.0,1.0,1.0,0.02316082131039598
48,booking,2019-01-01,1832.810059,9748300,"2018 was a good year for Booking Holdings as we met many important financial and strategic goals. In 2018, we achieved a new milestone exceeding three-quarters of a billion total booked room nights and produced strong year-over-year growth across our key financial metrics. I am excited about the investments we are making in 2019 as we position the Company for long-term growth.",220.91992100000016,129.79992600000014,-176.59008799999992,0.0,0.0,0.9274,0.0,0.782,0.218,0.25446969696969696,0.5787878787878789,379.0,62.0,6.015873015873016,8.0,1.0,24.0,10.214805806451611,15.0,10.0,11.0,0.0,6.0,"[('year', 3), ('2018', 2), ('financial', 2), ('growth', 2), ('good', 1), ('Booking', 1), ('Holdings', 1), ('met', 1), ('important', 1), ('strategic', 1)]",1.0,1.0,-1.0,1.1948055300555935
60,booking,2020-01-01,1830.550049,9054800,"We were pleased with our fourth quarter and full-year 2019 results.  While the outlook for global travel in the near-term is uncertain due to the coronavirus, we will manage the business appropriately to enhance long-term value for our stakeholders.",396.719971,-119.86999500000002,-191.130005,0.0,0.0,0.4767,0.051,0.828,0.122,0.175,0.375,249.0,39.0,6.225,6.0,0.0,19.0,10.520795947712418,8.0,4.0,8.0,1.0,4.0,"[('term', 2), ('pleased', 1), ('fourth', 1), ('quarter', 1), ('year', 1), ('2019', 1), ('results', 1), (' ', 1), ('outlook', 1), ('global', 1)]",1.0,-1.0,-1.0,0.3623701492537314
72,booking,2021-01-01,1944.329956,7962900,"The travel environment continued to be challenging through the fourth quarter of 2020 and into January 2021 as COVID-19 case counts remained very high and travel restrictions were reimposed in many parts of the world. However, in recent weeks, we have started to see some improvements in booking trends that we will continue to monitor. Looking ahead, I am more confident than ever in our long-term future and in the eventual strong recovery of travel demand. We will continue to focus on what we can control, namely investing in our business and executing against our strategic priorities to ensure we exit this crisis on a strong footing.",454.900024,429.5401609999999,417.2200929999999,0.0,0.0,0.8488,0.052,0.812,0.136,0.30746666666666667,0.5377,640.0,107.0,5.925925925925926,10.0,2.0,52.0,9.654218518518519,21.0,21.0,11.0,6.0,10.0,"[('travel', 3), ('continue', 2), ('strong', 2), ('environment', 1), ('continued', 1), ('challenging', 1), ('fourth', 1), ('quarter', 1), ('2020', 1), ('January', 1)]",1.0,1.0,1.0,0.37544835246933006
84,booking,2022-01-01,2456.129883,7179000,"Despite the negative impact on travel from the Omicron wave at the end of the fourth quarter, we delivered revenue and adjusted EBITDA results that were better than our expectations for the quarter. I am encouraged by the meaningful improvement in bookings we have seen so far in the first quarter of 2022. I believe we are well positioned as travel demand recovers, however, we do expect there will still be periods where COVID negatively impacts travel trends as we move through the year. As we look ahead to 2022, we remain focused on driving benefits to our traveler customers and to our supply partners alike while executing against our strategic priorities including building towards our Connected Trip vision.",-440.8498540000001,-812.919922,-212.56982400000012,0.0,0.0,0.9612,0.011,0.816,0.172,0.10714285714285711,0.44761904761904764,716.0,119.0,5.966666666666667,8.0,4.0,55.0,9.756217647058824,30.0,20.0,10.0,9.0,14.0,"[('travel', 3), ('quarter', 3), ('2022', 2), ('Despite', 1), ('negative', 1), ('impact', 1), ('Omicron', 1), ('wave', 1), ('end', 1), ('fourth', 1)]",-1.0,-1.0,-1.0,0.25241032119402984
45,broadcom,2018-10-01,190.272491,74094000,"Strong operating performance in the fiscal fourth quarter caps a year of solid results that continues to reinforce the sustainability of our business model. Revenues grew 18% to nearly $21 billion on the back of strong demand for our networking, enterprise storage, wireless and industrial products while operating margin continued to progressively expand to 50%. Looking forward to fiscal year 2019, we expect another year of double digit revenue growth. Sustained demand within our semiconductor segment will be augmented by the newly acquired mainframe and enterprise software businesses to our infrastructure software segment. We also expect operating margin to hit another record in fiscal year 2019 driven by improved operating leverage.",28.157516999999984,68.440583,40.51388599999999,0.0,0.0,0.9217,0.025,0.843,0.133,0.13787878787878788,0.30265151515151517,743.0,111.0,6.633928571428571,11.0,0.0,34.0,11.992484864864865,39.0,16.0,11.0,5.0,6.0,"[('operating', 4), ('year', 4), ('fiscal', 3), ('demand', 2), ('enterprise', 2), ('margin', 2), ('2019', 2), ('expect', 2), ('segment', 2), ('software', 2)]",1.0,1.0,1.0,3.9698949813632955
57,broadcom,2019-10-01,259.000031,42165900,"Today represents an important milestone as Symantec’s Enterprise Security business joins our other semiconductor and software franchises that together form the Broadcom platform. ymantec’s Enterprise Security business expands our footprint of mission critical infrastructure software for the Global 2000. We are pleased to welcome the talented team of employees at Symantec Enterprise Security to the Broadcom family. We are excited to join Broadcom as it continues to build one of the world’s leading infrastructure technology companies. Broadcom has a proven track record of successfully integrating companies, enabling enhanced growth and a faster pace of innovation, and we look forward to welcoming Symantec Enterprise customers, employees and suppliers to the Broadcom community.",5.635009000000025,-47.181869999999975,13.620941000000016,0.0,0.0,0.9821,0.017,0.717,0.265,0.3777777777777778,0.7416666666666667,785.0,111.0,7.008928571428571,8.0,0.0,39.0,11.545003247863248,49.0,18.0,10.0,3.0,6.0,"[('Broadcom', 5), ('Enterprise', 4), ('Symantec', 3), ('Security', 3), ('business', 2), ('software', 2), ('infrastructure', 2), ('employees', 2), ('companies', 2), ('Today', 1)]",1.0,-1.0,1.0,1.141839048544588
69,broadcom,2020-10-01,323.856995,33737800,"e concluded the year with strong fourth quarter results driven by continued demand for networking from cloud and for broadband from service providers as well as the significant ramp in wireless, even as enterprise demand remained soft. Our infrastructure software segment continued to be stable and delivered solid results. Our first quarter revenue outlook, which projects continued overall strength, is expected to show 13 percent year over year growth, all organic. Despite the challenges presented by the ongoing pandemic and macroeconomic uncertainties, we achieved record profitability, generating $11.6 billion of free cash flow in fiscal 2020",120.83212200000004,109.28369100000003,96.98992900000002,0.0,0.0,0.939,0.059,0.742,0.199,0.162037037037037,0.3990740740740741,650.0,96.0,6.701030927835052,11.0,0.0,30.0,11.520813836948392,31.0,13.0,17.0,3.0,3.0,"[('year', 3), ('continued', 3), ('quarter', 2), ('results', 2), ('demand', 2), ('e', 1), ('concluded', 1), ('strong', 1), ('fourth', 1), ('driven', 1)]",1.0,1.0,1.0,270.59483317411207
81,broadcom,2021-10-01,508.171875,34165300,"Broadcom concluded the year with record fourth quarter results driven by a rebound in enterprise, and continued strength from cloud and service provider demand. Our infrastructure software growth continues to be steady with our focus on strategic customers. With the strength and breadth of our IP portfolio, we continue to be able to uniquely deliver leading edge, best-in-class semiconductor solutions, and extend our leadership in our franchise markets. In fiscal 2021, we achieved record adjusted EBITDA margin of 60%, generating $13.3 billion of free cash flow, or 49% of revenue",53.63879399999996,97.52819799999996,55.396301,0.0,0.0,0.9217,0.015,0.828,0.157,0.2883333333333333,0.585,584.0,90.0,6.417582417582418,16.0,2.0,33.0,11.873613806863528,35.0,13.0,7.0,1.0,7.0,"[('record', 2), ('strength', 2), ('Broadcom', 1), ('concluded', 1), ('year', 1), ('fourth', 1), ('quarter', 1), ('results', 1), ('driven', 1), ('rebound', 1)]",1.0,1.0,1.0,45.84724206958928
93,broadcom,2022-10-01,462.898193,48150000,"Broadcom’s fiscal year 2022 revenue grew 21% year-over-year to a record $33.2 billion, as a result of strong demand from hyperscale, service providers, and enterprise. his growth was driven by our strong partnerships with customers and accelerated adoption of our next generation technologies. As we look into fiscal 2023, our increased R&D investments during the preceding years position us to extend our leadership in next generation products within the end markets we address. In fiscal 2022 we achieved record adjusted EBITDA margin of 63%, generating $16.3 billion in free cash flow or 49% of revenue, demonstrating our stable and focused business model ",345.061829,174.05731200000002,117.93127500000004,0.0,0.0,0.9559,0.013,0.804,0.183,0.2533333333333333,0.4533333333333333,659.0,102.0,6.398058252427185,19.0,2.0,34.0,11.85602380952381,36.0,13.0,14.0,0.0,10.0,"[('fiscal', 3), ('year', 3), ('2022', 2), ('revenue', 2), ('record', 2), ('$', 2), ('billion', 2), ('strong', 2), ('generation', 2), ('Broadcom', 1)]",1.0,1.0,1.0,17.058530906404386
36,caterpillar,2018-01-01,142.389999,134897200,"After four challenging years, many key markets improved in 2017, and our global team delivered strong results. We remained focused on operational excellence and made early investments in profitable growth initiatives as we began to implement our new strategy. We are in the early stages of implementing our strategy for profitable growth. In 2018, we expect to make additional investments in the expanded offerings and services important for Caterpillar’s long-term success. We will use our Operating & Execution Model to bias resources to areas that represent the greatest opportunity for return on our investments. Our focus on operational excellence will not waver as we work to develop a more competitive and flexible cost structure, including implementing lean manufacturing principles. We are positioned to capitalize on continued sales momentum or quickly adjust should conditions change.",-28.750953,-19.00246399999999,-15.526557999999994,0.0,0.0,0.9918,0.008,0.71,0.282,0.331002331002331,0.5606060606060607,895.0,134.0,6.62962962962963,13.0,0.0,52.0,10.792108465608466,36.0,26.0,19.0,3.0,13.0,"[('investments', 3), ('operational', 2), ('excellence', 2), ('early', 2), ('profitable', 2), ('growth', 2), ('strategy', 2), ('implementing', 2), ('challenging', 1), ('years', 1)]",-1.0,-1.0,-1.0,2.1383082519202974
48,caterpillar,2019-01-01,119.085365,119268900,"In 2018, Caterpillar achieved record profit per share and returned significant levels of capital to shareholders. ur global team remained focused on serving our customers, executing our strategy and investing for future profitable growth. Our outlook assumes a modest sales increase based on the fundamentals of our diverse end markets as well as the macroeconomic and geopolitical environment. We will continue to focus on operational excellence, including cost discipline, while investing in expanded offerings and services to drive long-term profitable growth.",16.728752000000014,-10.500350999999997,6.400406000000004,0.0,0.0,0.9776,0.0,0.707,0.293,0.11875,0.475,563.0,81.0,6.865853658536586,9.0,0.0,27.0,11.642517391304349,24.0,14.0,13.0,2.0,5.0,"[('investing', 2), ('profitable', 2), ('growth', 2), ('2018', 1), ('Caterpillar', 1), ('achieved', 1), ('record', 1), ('profit', 1), ('share', 1), ('returned', 1)]",1.0,-1.0,1.0,2.3002006739616068
60,caterpillar,2020-01-01,120.796211,64504300,"In the fourth quarter, strong cost control more than offset lower-than-expected end-user demand. Our margin performance reflected our diligent focus on maintaining a flexible and competitive cost structure. While sales declined modestly in 2019, we delivered an operating margin and free cash flow consistent with our long-term targets and continued to invest in services and expanded offerings. The team’s focus on executing our strategy for profitable growth also allowed us to increase our dividend by 20% and return more than $6 billion in capital to shareholders through dividends and share repurchases. We expect continued global economic uncertainty to pressure sales to users in 2020 and cause dealers to further reduce inventories. We have improved our lead times and remain prepared to respond quickly to any positive or negative changes in customer demand. We will continue to invest in services and expanded offerings to advance our strategy for long term profitable growth, while achieving our Investor Day targets.",51.641457,13.203469000000013,-13.016441,0.0,0.0,0.9682,0.061,0.753,0.186,0.18528138528138532,0.44491341991342004,1028.0,157.0,6.506329113924051,16.0,0.0,60.0,11.218160017969453,51.0,23.0,20.0,4.0,13.0,"[('cost', 2), ('demand', 2), ('margin', 2), ('focus', 2), ('sales', 2), ('long', 2), ('term', 2), ('targets', 2), ('continued', 2), ('invest', 2)]",1.0,1.0,-1.0,1.8877189436538773
72,caterpillar,2021-01-01,173.214493,64761800,I’m proud of our global team’s continued resilience in safely navigating COVID-19 while continuing to provide the essential products and services the world needs. Our fourth-quarter and full-year results reflect the team’s agility in a challenging environment while executing our strategy for long-term profitable growth. We achieved the adjusted operating profit margin established during our 2019 Investor Day while continuing to invest in products and services. We are well-positioned for the future and will emerge from the pandemic as an even stronger company.,26.733307,29.607696000000004,44.03656000000001,0.0,0.0,0.9509,0.0,0.801,0.199,0.3,0.4875,565.0,83.0,6.726190476190476,9.0,1.0,34.0,12.806928571428571,26.0,14.0,12.0,2.0,7.0,"[('team', 2), ('continuing', 2), ('products', 2), ('services', 2), ('proud', 1), ('global', 1), ('continued', 1), ('resilience', 1), ('safely', 1), ('navigating', 1)]",1.0,1.0,1.0,2.1365901492537316
84,caterpillar,2022-01-01,194.937973,89950100,"I’m proud of our global team’s continued resilience in what proved to be a challenging and dynamic operating environment. We delivered adjusted operating profit margins and ME&T free cash flows consistent with our long-term targets established during our 2019 Investor Day. Amid ongoing supply chain constraints, our team continues to execute our strategy for long-term profitable growth while striving to meet customer demand.",42.197769,-13.312454000000002,9.67297400000001,0.0,0.0,0.9477,0.02,0.728,0.252,0.325,0.5361111111111111,427.0,63.0,6.671875,7.0,1.0,20.0,13.345031764705883,25.0,12.0,9.0,0.0,8.0,"[('team', 2), ('operating', 2), ('long', 2), ('term', 2), ('proud', 1), ('global', 1), ('continued', 1), ('resilience', 1), ('proved', 1), ('challenging', 1)]",1.0,-1.0,1.0,6.078601851851853
36,chevron,2018-01-01,98.819344,130293100,"Earnings and cash flow grew significantly in 2017. We achieved our objective of being cash flow positive through deliberate actions to reduce capital expenditures, lower our cost structure, start and ramp-up projects, and conclude planned asset sales. Higher commodity prices helped as well. These improvements give us the confidence to increase the dividend by $0.04 per share, which puts us on track to make 2018 the 31st consecutive year with an increase in annual dividend payout. We replaced more than 150 percent of the reserves we produced, and reached several significant upstream project milestones in 2017",-9.746209000000007,0.3299020000000041,0.1476969999999937,0.0,0.0,0.9559,0.02,0.766,0.214,0.24675324675324675,0.4850649350649351,615.0,96.0,6.34020618556701,12.0,0.0,32.0,11.137394473531124,32.0,12.0,11.0,3.0,7.0,"[('cash', 2), ('flow', 2), ('2017', 2), ('increase', 2), ('dividend', 2), ('Earnings', 1), ('grew', 1), ('significantly', 1), ('achieved', 1), ('objective', 1)]",-1.0,1.0,1.0,3.3423976620394544
48,chevron,2019-01-01,93.871109,139155300,"Financial and operational results were strong in 2018. Earnings and cash flow continued to grow, and we delivered on all of our financial priorities. We increased the dividend, funded an attractive capital program, strengthened the balance sheet and returned surplus cash to our shareholders. During the second half of the year we repurchased $1.75 billion of the company’s stock, and earlier this week we announced a quarterly dividend increase of $0.07 per share. We reached significant milestones with upstream major capital projects in 2018, including the start-up of Wheatstone Train Two, our fifth operated LNG train in Australia. Our net oil-equivalent production grew more than 7 percent in 2018 to a record 2.93 million barrels per day. We expect that 2019 production will continue to grow by 4 to 7 percent, excluding the impact of asset sales. We also expanded our new retail marketing network in Mexico to over 100 service stations.",8.806777999999994,6.1934129999999925,0.282004999999998,0.0,0.0,0.9538,0.0,0.87,0.13,0.17837752525252523,0.39412878787878786,944.0,152.0,6.169934640522876,22.0,1.0,56.0,10.84578051948052,45.0,21.0,17.0,2.0,12.0,"[('2018', 3), ('cash', 2), ('grow', 2), ('dividend', 2), ('capital', 2), ('$', 2), ('production', 2), ('7', 2), ('percent', 2), ('Financial', 1)]",1.0,1.0,1.0,398.3487809841145
60,chevron,2020-01-01,91.286278,154388100,"Cash flow from operations remained strong in 2019, allowing the company to deliver on all our financial priorities. We paid $9 billion in dividends, repurchased $4 billion of shares, funded our capital program and successfully captured several inorganic investment opportunities, all while reducing debt by more than $7 billion. Earlier this week, we announced a quarterly dividend increase of $0.10 per share, reinforcing our commitment to growing shareholder returns. In 2019, in addition to flaring and methane emission reduction targets, the company also established new performance goals to reduce net greenhouse gas emission intensity from upstream oil and natural gas production.  We entered agreements to increase renewable energy in support of our business and invested in emerging low carbon technologies through our Future Energy Fund and other partnerships",-15.255477999999997,-27.404247999999995,-12.242149999999995,0.0,0.0,0.9758,0.031,0.744,0.225,0.14955808080808083,0.361489898989899,868.0,128.0,6.728682170542636,17.0,0.0,42.0,12.431181875,46.0,17.0,12.0,3.0,8.0,"[('$', 4), ('billion', 3), ('2019', 2), ('company', 2), ('increase', 2), ('emission', 2), ('gas', 2), ('Cash', 1), ('flow', 1), ('operations', 1)]",-1.0,-1.0,-1.0,0.687762599050316
72,chevron,2021-01-01,76.706039,197547100,"2020 was a year like no other. We were well positioned when the pandemic and economic crisis hit, and we exited the year with a strong balance sheet, having completed a major acquisition and increased our dividend payout for the 33rd consecutive year. When market conditions deteriorated, we swiftly reduced capital spending by 35 percent from 2019 and also reduced operating costs, demonstrating our commitment to capital and cost discipline. Excluding severance expense, 2020 operating expenses were down $1.4 billion from the prior year. Chevron also completed an enterprise-wide transformation program and the integration of Noble Energy, positioning the company for the future. The acquisition of Noble Energy was completed in October, adding high-quality assets, opportunities and people to Chevron. ",34.48241499999999,18.318978,18.057541,0.0,0.0,0.9599,0.044,0.747,0.208,0.20030864197530862,0.4469135802469136,806.0,120.0,6.661157024793388,18.0,0.0,44.0,11.470833333333335,43.0,18.0,8.0,7.0,5.0,"[('year', 4), ('completed', 3), ('2020', 2), ('acquisition', 2), ('reduced', 2), ('capital', 2), ('operating', 2), ('Chevron', 2), ('Noble', 2), ('Energy', 2)]",1.0,1.0,1.0,0.692219025328149
84,chevron,2022-01-01,124.434425,300811900,"In 2021, we delivered record free cash flow and accelerated our progress towards a lower carbon future. We’re an even better company than we were just a few years ago. We’re more capital and cost efficient, enabling us to return more cash to shareholders. We’re delivering greater value to stockholders today, while working to meet the world’s growing energy demands in a lower carbon future",51.75739300000001,15.513053999999984,42.79241199999999,0.0,0.0,0.9337,0.055,0.688,0.257,0.275,0.39375000000000004,391.0,65.0,5.924242424242424,6.0,0.0,23.0,10.326549261083745,21.0,15.0,9.0,4.0,7.0,"[('cash', 2), ('lower', 2), ('carbon', 2), ('future', 2), ('2021', 1), ('delivered', 1), ('record', 1), ('free', 1), ('flow', 1), ('accelerated', 1)]",1.0,1.0,1.0,7.118788329725831
